Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 320, 320, 3, 320, 320, 3, FRAME, 0, 0, 204800, 204800, 1, 1, 1,,,,,,,,, MSMC, DMA, 204800, 204800, 2, 409600, 0, 0, ,,,,,,,, DDR, CPU, 204800, 204800, 3, 615424, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Conv, 3, 320, 320, 12, 160, 160, 3, ROW_C, 640, 640, 32000, 204800, 7, 1, 7,,,,,,,,, L2, DMA, 65536, 65536, 3, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 51264, 51202, 12, 615296, 0, 0, ,,,,,,,, MSMC, DMA, 54, 54, 12, 1408, 0, 96380, ,,,,,,,, 
 2,     Conv, 12, 160, 160, 16, 160, 160, 12, ROW_C, 644, 672, 7840, 51200, 7, 1, 7,,,,,,,,, L2, DMA, 16384, 16384, 12, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 51264, 51200, 16, 820352, 0, 0, ,,,,,,,, MSMC, DMA, 320, 216, 16, 5760, 0, c8480, ,,,,,,,, 
 3,     Conv, 16, 160, 160, 32, 80, 80, 16, ROW_L, 320, 320, 5120, 51200, 10, 1, 10,,,,,,,,, L2, DMA, 10560, 10560, 16, 210048, 0, 0, MSMC, CPU, 1280, 0, 32, 81920, 0, caf00, DDR, DMA, 15360, 12802, 32, 492544, 0, 0, ,,,,,,,, MSMC, DMA, 320, 288, 32, 10880, 0, c8480, ,,,,,,,, 
 4,     Conv, 32, 80, 80, 16, 80, 80, 32, ROW_L, 0, 0, 3424, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 32, 226176, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 16, 205952, 0, 0, ,,,,,,,, MSMC, DMA, 64, 64, 16, 1664, 0, c8480, ,,,,,,,, 
 5,     Conv, 32, 80, 80, 16, 80, 80, 32, ROW_L, 0, 0, 3424, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 32, 226176, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 16, 205952, 0, 32480, ,,,,,,,, MSMC, DMA_ONCE, 64, 64, 16, 1664, 0, f1700, ,,,,,,,, 
 6,     Conv, 16, 80, 80, 16, 80, 80, 16, ROW_L, 0, 0, 7072, 12800, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 16, 226432, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 16, 205952, 0, 65f80, ,,,,,,,, MSMC, DMA, 32, 32, 16, 1152, 0, 64900, ,,,,,,,, 
 7,     Conv, 16, 80, 80, 16, 80, 80, 16, ROW_L, 324, 352, 6880, 12800, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 16, 226432, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 16, 205952, 0, 65f80, ,,,,,,,, MSMC, DMA, 320, 288, 16, 5760, 0, 64900, ,,,,,,,, 
 8,  EltWise, 32, 80, 80, 16, 80, 80, 32,  COL, 0, 0, 12800, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 12864, 12864, 8, 205824, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 16, 205952, 0, 32480, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9,   Concat, 32, 80, 80, 32, 80, 80, 32,  COL, 0, 0, 12800, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 12864, 12864, 16, 205824, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 32, 411776, 0, 64900, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 10,     Conv, 32, 80, 80, 32, 80, 80, 32, ROW_L, 0, 0, 3424, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 32, 226176, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 32, 411776, 0, 0, ,,,,,,,, MSMC, DMA, 64, 64, 32, 2688, 0, c9180, ,,,,,,,, 
 11,     Conv, 32, 80, 80, 64, 40, 40, 32, ROW_L, 160, 160, 3200, 12800, 4, 1, 4,,,,,,,,, L2, DMA, 6592, 6592, 32, 217472, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3202, 64, 209024, 0, 6db00, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37504, 0, 64880, ,,,,,,,, 
 12,     Conv, 64, 40, 40, 32, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6784, 0, 64880, ,,,,,,,, 
 13,     Conv, 64, 40, 40, 32, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 19880, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6784, 0, 33100, ,,,,,,,, 
 14,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 37b80, ,,,,,,,, MSMC, DMA, 64, 64, 32, 2688, 0, 33100, ,,,,,,,, 
 15,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 164, 192, 3008, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 107520, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 37b80, ,,,,,,,, MSMC, DMA, 576, 576, 32, 19072, 0, 33100, ,,,,,,,, 
 16,  EltWise, 64, 40, 40, 32, 40, 40, 64,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 19880, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 17,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 33100, ,,,,,,,, MSMC, DMA, 64, 64, 32, 2688, 0, 4c980, ,,,,,,,, 
 18,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 164, 192, 3008, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 107520, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 33100, ,,,,,,,, MSMC, DMA, 576, 576, 32, 19072, 0, 4c980, ,,,,,,,, 
 19,  EltWise, 64, 40, 40, 32, 40, 40, 64,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 19880, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 20,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 33100, ,,,,,,,, MSMC, DMA, 64, 64, 32, 2688, 0, 4c980, ,,,,,,,, 
 21,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 164, 192, 3008, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 107520, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 33100, ,,,,,,,, MSMC, DMA, 576, 576, 32, 19072, 0, 4c980, ,,,,,,,, 
 22,  EltWise, 64, 40, 40, 32, 40, 40, 64,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 19880, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23,   Concat, 64, 40, 40, 64, 40, 40, 64,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 64, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 33100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 66180, ,,,,,,,, 
 25,     Conv, 64, 40, 40, 128, 20, 20, 64, ROW_L, 80, 80, 1600, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 64, 217216, 0, 0, ,,,,,,,, MSMC, CPU, 832, 802, 128, 106624, 0, 59500, ,,,,,,,, MSMC, DMA, 1216, 1152, 128, 156800, 0, 33080, ,,,,,,,, 
 26,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 33080, ,,,,,,,, MSMC, DMA, 320, 256, 64, 21120, 0, 40100, ,,,,,,,, 
 27,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 40100, ,,,,,,,, MSMC, DMA, 320, 256, 64, 21120, 0, 4d180, ,,,,,,,, 
 28,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 5a200, ,,,,,,,, 
 29,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5a200, ,,,,,,,, 
 30,  EltWise, 128, 20, 20, 64, 20, 20, 128,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 40100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 5a200, ,,,,,,,, 
 32,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5a200, ,,,,,,,, 
 33,  EltWise, 128, 20, 20, 64, 20, 20, 128,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 40100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 34,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 5a200, ,,,,,,,, 
 35,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4d180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5a200, ,,,,,,,, 
